iterations,avg_cost,max_avg_cost
0.0,3.2843,3.94
10000.0,3.3404000000000003,3.96
20000.0,3.2863,3.94
30000.0,3.199,3.93
40000.0,3.3145,3.94
50000.0,3.2602999999999995,3.93
60000.0,3.2315,3.9
70000.0,3.2367000000000004,3.92
80000.0,3.2458,4.0
90000.0,3.3234,3.97
100000.0,3.2432,3.94
110000.0,3.1903,3.92
210000.0,3.1677,3.94
310000.0,3.2709,3.91
410000.0,3.2239,3.92
510000.0,3.3431,3.93
610000.0,3.2866000000000004,3.95
710000.0,3.2228,3.94
810000.0,3.2763,3.95
910000.0,3.2609,3.92
1010000.0,3.21,3.95
1110000.0,3.2977999999999996,3.93
