iters,score
0.0,0.813
11000.0,0.6291
22000.0,0.4451
33000.0,0.2948
44000.0,0.3905
55000.0,0.3199
66000.0,0.2621
77000.0,0.1869
88000.0,0.2354
99000.0,0.2627
110000.0,0.2918
121000.0,0.1315
132000.0,0.0857
143000.0,0.1413
154000.0,0.0991
165000.0,0.1536
176000.0,0.0819
187000.0,0.1415
198000.0,0.15109999999999998
209000.0,0.096
220000.0,0.0918
231000.0,0.1328
242000.0,0.1408
253000.0,0.13269999999999998
264000.0,0.13
275000.0,0.1604
286000.0,0.0675
297000.0,0.08539999999999999
308000.0,0.0658
319000.0,0.1227
330000.0,0.0407
341000.0,0.07730000000000001
352000.0,0.0398
363000.0,0.0294
374000.0,0.0286
385000.0,0.0297
396000.0,0.1062
407000.0,0.1213
418000.0,0.1311
429000.0,0.0741
440000.0,0.0559
451000.0,0.073
462000.0,0.115
473000.0,0.0732
484000.0,0.0453
495000.0,0.0733
506000.0,0.0619
517000.0,0.0543
528000.0,0.1501
539000.0,0.0729
550000.0,0.0286
561000.0,0.0276
572000.0,0.0256
583000.0,0.027999999999999997
594000.0,0.0417
605000.0,0.0617
616000.0,0.0913
627000.0,0.0396
638000.0,0.0407
649000.0,0.0809
660000.0,0.0729
671000.0,0.0233
682000.0,0.0258
693000.0,0.0256
704000.0,0.0252
715000.0,0.025
726000.0,0.0266
737000.0,0.0249
748000.0,0.0239
759000.0,0.0248
770000.0,0.0221
781000.0,0.0233
792000.0,0.0249
803000.0,0.0227
814000.0,0.0228
825000.0,0.0506
836000.0,0.0723
847000.0,0.0789
858000.0,0.0908
869000.0,0.0911
880000.0,0.0341
891000.0,0.0525
902000.0,0.07
913000.0,0.0211
924000.0,0.0517
935000.0,0.0245
946000.0,0.0233
957000.0,0.0211
968000.0,0.0248
979000.0,0.024
990000.0,0.0242
1001000.0,0.0237
1012000.0,0.0254
1023000.0,0.0236
1034000.0,0.0253
1045000.0,0.0226
1056000.0,0.0254
1067000.0,0.024700000000000003
1078000.0,0.08199999999999999
1089000.0,0.0245
1100000.0,0.0723
1111000.0,0.0518
