time_steps,avg_cost,max_avg_cost,min_avg_cost,qval_rmse
0.0,111.316,148.53,57.36,
100000.0,106.2471,150.5,53.37,
200000.0,106.8448,149.5,53.08,
300000.0,108.1738,149.5,53.47,
400000.0,101.8028,141.68,52.3,
500000.0,95.4189,148.51,56.27,
600000.0,97.9034,143.71,39.92,
700000.0,91.7903,144.71,61.26,
800000.0,90.2573,141.71,59.32,
900000.0,89.5231,140.87,46.35,
1000000.0,90.8741,149.51,54.06,
1100000.0,92.5998,145.54,58.12,
1200000.0,86.3108,131.41,52.96,
1300000.0,87.986,143.65,56.08,
1400000.0,87.6109,147.53,53.36,
1500000.0,88.4154,125.13,64.98,
1600000.0,90.13799999999999,144.56,53.92,
1700000.0,85.9131,104.1,52.47,
1800000.0,87.8877,142.86,32.79,
1900000.0,95.4375,151.5,58.18,
2000000.0,83.0399,125.33,52.93,
2100000.0,81.9765,144.61,47.64,
2200000.0,87.7164,149.5,51.62,
2300000.0,76.5629,112.81,54.38,
2400000.0,83.8948,135.44,49.27,
2500000.0,84.1582,145.54,48.01,
2600000.0,78.2894,131.44,49.62,
2700000.0,84.1926,132.29,55.56,
2800000.0,83.4408,132.88,44.6,
2900000.0,74.6023,143.71,46.15,
3000000.0,73.3515,103.38,38.13,
3100000.0,78.7544,101.1,51.17,
3200000.0,77.678,118.57,58.65,
3300000.0,79.6426,120.49,39.97,
3400000.0,78.4291,125.01,38.19,
3500000.0,73.5271,103.27,37.5,
3600000.0,72.173,103.51,40.95,
3700000.0,73.7838,101.12,41.54,
3800000.0,77.2882,137.05,51.27,
3900000.0,79.7924,103.78,45.69,
4000000.0,71.8504,98.18,51.52,
4100000.0,74.1163,102.04,38.68,
4200000.0,71.8161,102.4,42.85,
4300000.0,71.1219,100.66,36.3,
4400000.0,72.5514,102.13,51.53,
4500000.0,68.1508,100.82,43.57,
4600000.0,68.596,104.64,45.23,
4700000.0,71.3206,99.87,40.67,
4800000.0,68.6667,100.0,43.11,
