time_steps,avg_cost,max_avg_cost,min_avg_cost
0.0,3.2396,3.96,
1000000.0,3.2559,3.92,
2000000.0,3.1248,3.91,
3000000.0,2.9946,3.8,
4000000.0,2.9268,3.77,
5000000.0,3.094,3.89,
6000000.0,3.0445,3.88,
7000000.0,3.0211,3.91,
8000000.0,2.9848000000000003,3.9,
9000000.0,3.0662000000000003,3.87,
10000000.0,2.9725,3.84,
11000000.0,3.0616000000000003,3.85,
12000000.0,3.0661,3.91,
13000000.0,3.0696,3.86,
14000000.0,3.1221,3.95,
15000000.0,3.1691000000000003,3.9,
16000000.0,3.2048,3.94,
17000000.0,3.2598000000000003,3.91,
18000000.0,3.1933,3.9,
19000000.0,3.2818,3.91,
20000000.0,3.3011,3.94,
21000000.0,3.2252,3.95,
21010000.0,3.2431,3.9,2.27
21110000.0,3.3,3.93,2.38
21210000.0,3.2406,3.92,2.27
21310000.0,3.3189,3.92,2.24
21410000.0,3.2001,3.92,2.43
21510000.0,3.1664,3.93,2.36
21610000.0,3.2105,3.98,2.27
21710000.0,3.2261,3.92,1.91
21810000.0,3.346,3.91,2.15
21910000.0,3.2312,3.91,2.31
22010000.0,3.2417,3.93,2.54
22110000.0,3.2233,3.92,2.29
22210000.0,3.2471,3.9,1.85
22310000.0,3.2508,3.85,2.31
22410000.0,3.2463,3.96,2.29
22510000.0,3.2526,3.93,2.37
22610000.0,3.2510000000000003,3.96,2.4
22710000.0,3.1755,3.92,2.38
22810000.0,3.2423,3.93,2.32
22910000.0,3.2319999999999998,3.94,2.42
23010000.0,3.3378,3.94,2.57
23110000.0,3.1689999999999996,3.91,2.35
23210000.0,3.2543,3.86,2.35
23310000.0,3.2372,3.94,2.35
23410000.0,3.2111,3.91,2.12
23510000.0,3.2419,3.96,2.02
23610000.0,3.1099,3.87,2.36
23710000.0,3.2232,3.79,2.13
23810000.0,3.2215,3.96,2.27
23910000.0,3.2329000000000003,3.91,2.56
24010000.0,3.2383,3.97,2.37
24110000.0,3.1981,3.9,2.19
24210000.0,3.2146,3.87,2.42
24310000.0,3.2977,3.93,2.31
24410000.0,3.2235,3.9,2.46
24510000.0,3.2821,3.89,2.31
24610000.0,3.2499,3.87,2.2
24710000.0,3.1855,3.87,2.27
24810000.0,3.1986000000000003,3.89,2.39
24910000.0,3.2948000000000004,3.94,2.27
25010000.0,3.1539,3.89,1.85
25110000.0,3.2288,3.9,2.23
25210000.0,3.2633,3.86,2.36
25310000.0,3.2655000000000003,3.94,2.36
25410000.0,3.2883,3.95,2.09
25510000.0,3.2647000000000004,3.89,2.15
25610000.0,3.1604,3.84,2.36
25710000.0,3.2164,3.9,2.09
25810000.0,3.2654,3.97,2.26
25910000.0,3.2476,3.88,2.44
26010000.0,3.1592,3.87,2.15
26110000.0,3.2333,3.97,2.09
26210000.0,3.2831,3.92,1.97
26310000.0,3.2188,3.91,2.39
26410000.0,3.2021,3.91,2.3
26510000.0,3.2297,3.98,2.24
26610000.0,3.2587,3.9,2.07
26710000.0,3.2044,3.89,2.37
26810000.0,3.1912000000000003,3.91,2.39
26910000.0,3.3062,3.94,2.2
27010000.0,3.2112,3.88,2.31
27110000.0,3.2525,3.95,2.47
27210000.0,3.2405,3.94,2.25
27310000.0,3.2196,3.95,2.34
27410000.0,3.2358,3.91,2.12
27510000.0,3.205,3.93,2.44
27610000.0,3.1456,3.94,2.35
27710000.0,3.1026,3.89,2.22
27810000.0,3.1384,3.96,2.22
27910000.0,3.2155,3.95,2.26
28010000.0,3.1893,3.93,2.36
28110000.0,3.1573,3.79,2.29
28210000.0,3.1466000000000003,3.94,2.26
28310000.0,3.0751,3.87,2.22
28410000.0,3.16,3.91,2.39
28510000.0,3.1824,3.84,2.07
28610000.0,3.2327,3.87,2.54
28710000.0,3.1889,3.98,2.21
28810000.0,3.1538,3.88,2.24
28910000.0,3.1211,3.91,2.08
29010000.0,3.0935,3.91,2.4
29110000.0,3.1307,3.89,2.24
29210000.0,3.0857,3.89,2.12
29310000.0,3.0809,3.89,2.25
29410000.0,3.138,3.9,2.26
29510000.0,3.0787,3.88,2.11
29610000.0,3.1701,3.91,2.13
29710000.0,3.1181,3.87,2.41
29810000.0,3.2295,3.89,2.43
29910000.0,3.174,3.93,2.3
30010000.0,3.1381,3.86,1.93
30110000.0,3.135,3.88,2.11
30210000.0,3.2552,3.94,2.38
30310000.0,3.1135,3.88,1.95
30410000.0,3.16,3.9,2.39
30510000.0,3.1587,3.84,2.47
30610000.0,3.0805,3.86,2.13
30710000.0,3.1225,3.85,1.91
30810000.0,3.0742000000000003,3.96,2.19
30910000.0,3.1828,3.88,2.31
31010000.0,3.1586000000000003,3.83,2.41
31110000.0,3.043,3.75,2.37
31210000.0,3.1086,3.84,2.28
31310000.0,3.1823,3.9,2.32
31410000.0,3.0633,3.87,2.31
31510000.0,3.1523000000000003,3.96,2.38
31610000.0,3.1406,3.95,2.41
31710000.0,3.0747000000000004,3.88,1.85
31810000.0,3.0912,3.84,2.35
31910000.0,3.1255,3.85,2.43
32010000.0,3.0447,3.87,2.31
32110000.0,3.0488,3.84,2.46
32210000.0,3.0721,3.86,2.34
32310000.0,3.1247000000000003,3.84,2.4
32410000.0,3.0752,3.84,2.07
32510000.0,3.0599000000000003,3.85,2.28
32610000.0,3.0645,3.84,2.17
32710000.0,3.1310000000000002,3.89,2.31
32810000.0,3.1125,3.99,2.23
32910000.0,3.0671,3.91,2.4
33010000.0,3.1066000000000003,3.97,2.08
33110000.0,3.1286,3.88,2.16
33210000.0,3.1134,3.85,2.17
33310000.0,3.1414,3.89,2.25
33410000.0,3.1437,3.93,2.3
33510000.0,3.105,3.88,1.88
33610000.0,3.1229,3.92,2.01
33710000.0,3.0983,3.87,2.39
33810000.0,3.1429,3.93,2.1
33910000.0,3.1455,3.88,2.12
34010000.0,3.0762,3.9,2.27
34110000.0,3.1273,3.86,2.02
34210000.0,3.1096,3.94,2.42
34310000.0,3.0799000000000003,3.84,2.29
34410000.0,3.1263,3.92,2.26
34510000.0,3.0777,3.81,1.88
34610000.0,3.113,3.93,2.3
34710000.0,3.0941,3.93,2.38
34810000.0,3.0258,3.96,2.15
34910000.0,3.0458,3.88,2.02
35010000.0,3.0951,3.87,2.11
35110000.0,3.0213,3.66,2.05
35210000.0,3.056,3.78,2.47
35310000.0,3.0537,3.89,2.33
35410000.0,3.0959,3.85,2.44
35510000.0,3.0481,3.8,2.3
35610000.0,3.053,3.89,2.45
35710000.0,3.0599000000000003,3.81,2.36
35810000.0,3.0777,3.84,2.24
35910000.0,3.03,3.82,2.13
36010000.0,3.016,3.87,2.18
36110000.0,3.1038,3.85,2.34
36210000.0,3.0633,3.9,2.16
36310000.0,3.0173,3.63,2.32
36410000.0,2.9722000000000004,3.74,2.19
36510000.0,3.0294,3.78,2.42
36610000.0,2.9494,3.66,2.31
36710000.0,3.0494,3.83,2.17
36810000.0,3.012,3.9,1.74
36910000.0,3.0264,3.78,2.33
37010000.0,3.0392,3.88,2.3
37110000.0,2.9917,3.72,1.81
37210000.0,3.0317000000000003,3.85,2.34
37310000.0,2.9723,3.67,2.0
37410000.0,3.0141000000000004,3.84,2.28
37510000.0,3.0292000000000003,3.73,2.45
37610000.0,2.9811,3.75,2.54
37710000.0,3.0046,3.75,2.34
37810000.0,3.0279000000000003,3.84,2.08
37910000.0,2.9312,3.78,2.38
38010000.0,2.9857,3.75,2.14
38110000.0,2.9737,3.77,2.39
38210000.0,2.9712,3.72,2.27
38310000.0,2.9547000000000003,3.81,2.39
38410000.0,2.9791000000000003,3.85,2.17
38510000.0,2.9726,3.63,2.4
38610000.0,3.0305,3.73,2.04
38710000.0,2.9786,3.85,2.28
38810000.0,3.0185000000000004,3.93,2.33
38910000.0,3.0165,3.9,1.92
39010000.0,2.9504,3.64,1.65
39110000.0,2.9821,3.76,2.44
39210000.0,3.0672,3.89,2.39
39310000.0,2.9603,3.81,2.37
39410000.0,2.9702,3.68,2.48
39510000.0,2.9798,3.74,2.4
39610000.0,2.9428,3.9,2.33
39710000.0,2.9626,3.69,2.25
39810000.0,3.0122000000000004,3.59,2.35
39910000.0,3.0177,3.87,2.45
40010000.0,2.9734,3.77,2.41
40110000.0,2.9126,3.5,1.89
40210000.0,2.9781,3.59,2.16
40310000.0,2.8863,3.57,2.27
40410000.0,2.8914,3.9,1.83
40510000.0,3.0032,3.85,2.5
40610000.0,2.9394,3.81,2.44
40710000.0,2.9695,3.74,2.39
40810000.0,2.9507,3.42,2.03
40910000.0,2.8941000000000003,3.29,2.25
41010000.0,2.9165,3.75,2.15
41110000.0,2.9848000000000003,3.66,2.27
41210000.0,2.9509,3.29,2.14
41310000.0,2.9311000000000003,3.32,1.93
41410000.0,2.9792,3.52,2.41
41510000.0,2.9572000000000003,3.29,2.1
41610000.0,2.9604000000000004,3.3,2.33
41710000.0,2.9653,3.57,2.27
41810000.0,2.9562,3.75,1.98
41910000.0,2.9499,3.67,2.0
42010000.0,2.9033,3.69,1.91
42110000.0,2.9277999999999995,3.88,2.41
42210000.0,2.9466,3.67,2.11
42310000.0,2.9026,3.32,2.14
42410000.0,2.8916000000000004,3.41,2.34
42510000.0,2.9787,3.77,2.19
42610000.0,2.9343,3.43,2.2
42710000.0,2.9422,3.69,2.07
42810000.0,2.9182,3.25,2.23
42910000.0,2.9301,3.96,2.32
43010000.0,2.9411,3.31,2.23
43110000.0,2.9158,3.6,1.98
43210000.0,2.9535,3.76,2.22
43310000.0,2.9042000000000003,3.38,2.22
43410000.0,2.9177,3.75,2.46
43510000.0,2.944,3.79,2.26
43610000.0,2.9149000000000003,3.63,2.24
43710000.0,2.8959,3.29,2.19
43810000.0,2.9344,3.26,2.18
43910000.0,2.9223000000000003,3.33,2.19
44010000.0,2.9467000000000003,3.35,2.46
44110000.0,2.9356,3.47,2.24
44210000.0,2.9792,3.65,2.13
44310000.0,2.9438,3.69,2.34
44410000.0,2.9451,3.55,2.31
44510000.0,2.9232,3.72,2.16
44610000.0,2.8421,3.29,2.27
44710000.0,2.8896,3.7,2.23
44810000.0,2.8646,3.4,2.24
44910000.0,2.9045,3.47,2.28
45010000.0,2.9296,3.3,2.03
45110000.0,2.8953,3.28,2.35
45210000.0,2.9160000000000004,3.55,2.25
45310000.0,2.8552,3.2,2.03
45410000.0,2.9084,3.3,2.23
45510000.0,2.8552,3.38,2.3
45610000.0,2.832,3.26,2.09
45710000.0,2.9248000000000003,3.41,2.18
45810000.0,2.8714,3.23,2.43
45910000.0,2.8824,3.27,2.27
46010000.0,2.9084,3.4,2.2
46110000.0,2.9345,3.28,2.17
46210000.0,2.9429000000000003,3.55,2.4
46310000.0,2.9094,3.35,1.82
46410000.0,2.9214,3.29,2.2
46510000.0,2.8956,3.33,2.22
46610000.0,2.9412000000000003,3.36,2.34
46710000.0,2.9346,3.32,2.26
46810000.0,2.9201,3.34,2.13
46910000.0,2.907,3.68,2.11
47010000.0,2.8865,3.39,2.14
47110000.0,2.9313,3.42,2.16
47210000.0,2.9111,3.31,2.17
47310000.0,2.9272000000000005,3.72,2.22
47410000.0,2.9613,3.86,2.46
47510000.0,2.8893,3.91,2.07
47610000.0,2.9186,3.27,2.07
47710000.0,2.8837,3.25,2.11
47810000.0,2.9093,3.29,2.16
47910000.0,2.9189999999999996,3.25,2.3
48010000.0,2.9227,3.35,2.24
48110000.0,2.8554000000000004,3.37,2.04
48210000.0,2.9073,3.3,2.1
48310000.0,2.8937,3.83,2.24
48410000.0,2.9128,3.74,2.18
48510000.0,2.8684,3.25,2.03
48610000.0,2.9193,3.88,1.74
48710000.0,2.9212,3.29,2.2
48810000.0,2.9035,3.36,1.81
48910000.0,2.8489,3.25,2.17
49010000.0,2.9142,3.24,2.33
49110000.0,2.8785000000000003,3.38,2.05
49210000.0,2.8952,3.32,1.98
49310000.0,2.8665,3.3,2.02
49410000.0,2.9421,3.74,1.77
49510000.0,2.9106,3.62,2.03
49610000.0,2.9004000000000003,3.28,2.14
49710000.0,2.8707,3.3,1.77
49810000.0,2.9003,3.32,1.98
49910000.0,2.9309,3.82,1.69
50010000.0,2.9144,3.27,2.33
50110000.0,2.9339999999999997,3.37,2.28
50210000.0,2.9547000000000003,3.26,2.47
50310000.0,2.8480000000000003,3.29,2.27
50410000.0,2.8417000000000003,3.23,2.17
50510000.0,2.8651,3.23,2.22
50610000.0,2.8739,3.3,2.3
50710000.0,2.8611,3.28,2.14
50810000.0,2.8852,3.56,2.1
50910000.0,2.9316000000000004,3.28,2.1
51010000.0,2.9101,3.23,2.28
51110000.0,2.8702,3.28,2.19
51210000.0,2.8558,3.23,2.33
51310000.0,2.9064,3.33,2.08
51410000.0,2.8351,3.24,2.28
51510000.0,2.8501,3.54,2.07
51610000.0,2.8734,3.23,2.29
51710000.0,2.9098,3.32,2.12
51810000.0,2.888,3.88,2.02
51910000.0,2.8438,3.24,2.17
52010000.0,2.8773,3.78,1.99
52110000.0,2.8699,3.62,2.24
52210000.0,2.8452,3.31,2.02
52310000.0,2.9125,3.67,2.25
52410000.0,2.8499,3.29,2.29
52510000.0,2.8823000000000003,3.22,2.18
52610000.0,2.8827,3.23,2.08
52710000.0,2.9144,3.72,2.21
52810000.0,2.8984,3.26,2.23
52910000.0,2.8932,3.27,2.32
53010000.0,2.8139,3.35,2.16
53110000.0,2.8992,3.47,2.16
53210000.0,2.8777,3.2,2.15
53310000.0,2.8497000000000003,3.4,2.0
53410000.0,2.8561,3.2,2.3
53510000.0,2.9216,3.62,2.39
53610000.0,2.843,3.28,2.23
53710000.0,2.8829,3.64,1.81
53810000.0,2.8995,3.92,2.49
53910000.0,2.8917,3.3,2.4
54010000.0,2.9241,3.28,2.19
54110000.0,2.9031,3.76,2.42
54210000.0,2.905,3.76,1.99
54310000.0,2.8528,3.52,2.15
54410000.0,2.8609,3.51,2.13
54510000.0,2.9139999999999997,3.55,2.04
54610000.0,2.899,3.27,2.23
54710000.0,2.8719,3.19,2.27
54810000.0,2.8738,3.27,2.11
54910000.0,2.9122000000000003,3.52,2.15
55010000.0,2.8743,3.53,2.07
55110000.0,2.8272000000000004,3.26,2.09
55210000.0,2.8989,3.27,2.21
55310000.0,2.8334,3.8,2.28
55410000.0,2.8193,3.79,2.03
55510000.0,2.7815,3.74,1.78
55610000.0,2.765,3.36,1.91
55710000.0,2.798,3.31,2.17
55810000.0,2.8336,3.72,2.17
55910000.0,2.8637,3.31,2.24
56010000.0,2.8717,3.73,2.32
56110000.0,2.8358,3.34,2.2
56210000.0,2.8305,3.6,2.22
56310000.0,2.7788,3.65,2.0
56410000.0,2.8032,3.4,2.02
56510000.0,2.7903,3.36,2.09
56610000.0,2.8783,3.27,2.03
56710000.0,2.7935000000000003,3.28,1.96
56810000.0,2.9036,3.28,1.97
56910000.0,2.8484,3.4,2.26
57010000.0,2.8315,3.28,2.24
57110000.0,2.9199,3.65,2.26
57210000.0,2.8581,3.34,2.06
57310000.0,2.8841,3.27,2.13
57410000.0,2.859,3.77,2.22
57510000.0,2.7710000000000004,3.28,1.92
57610000.0,2.8692,3.5,2.37
57710000.0,2.861,3.28,2.33
57810000.0,2.8825,3.29,2.18
57910000.0,2.9033,3.84,2.24
58010000.0,2.8,3.23,2.03
58110000.0,2.7934,3.33,2.25
58210000.0,2.7589,3.32,1.97
58310000.0,2.8059,3.2,2.03
58410000.0,2.7756,3.65,1.96
58510000.0,2.8108,3.27,2.26
58610000.0,2.8781,3.28,2.12
58710000.0,2.8059,3.17,1.98
58810000.0,2.849,3.27,2.14
58910000.0,2.8026,3.33,2.16
59010000.0,2.7827,3.66,2.17
59110000.0,2.8543000000000003,3.26,2.12
59210000.0,2.8507,3.74,2.09
59310000.0,2.8473,3.27,2.09
59410000.0,2.7983,3.96,1.95
59510000.0,2.8156,3.21,2.28
59610000.0,2.8725,3.3,2.26
59710000.0,2.8517,3.29,2.25
59810000.0,2.8766000000000003,3.29,2.13
59910000.0,2.819,3.34,2.17
60010000.0,2.7907,3.3,2.14
60110000.0,2.8256,3.32,2.29
60210000.0,2.8593,3.18,2.31
60310000.0,2.8002,3.46,2.19
60410000.0,2.8502,3.27,2.06
60510000.0,2.804,3.24,2.27
60610000.0,2.7621,3.43,1.94
60710000.0,2.8633,3.37,2.11
60810000.0,2.8021,3.22,2.01
60910000.0,2.7939,3.23,2.05
61010000.0,2.8515,3.38,2.12
61110000.0,2.8128,3.26,2.14
61210000.0,2.7928,3.31,2.14
61310000.0,2.7452,3.24,1.55
61410000.0,2.7467,3.31,1.73
61510000.0,2.8789999999999996,3.64,2.19
61610000.0,2.8018,3.27,2.19
61710000.0,2.8121,3.4,2.21
61810000.0,2.8356,3.33,2.1
61910000.0,2.8338,3.32,2.18
62010000.0,2.8424,3.32,2.12
62110000.0,2.8115,3.26,1.93
62210000.0,2.79,3.27,2.01
62310000.0,2.7957,3.23,2.24
62410000.0,2.7893,3.79,2.0
62510000.0,2.8377,3.69,2.02
62610000.0,2.794,3.25,2.02
62710000.0,2.8185,3.22,2.17
62810000.0,2.7786,3.25,1.77
62910000.0,2.7845,3.28,1.93
63010000.0,2.853,3.23,1.97
63110000.0,2.8077,3.35,2.11
63210000.0,2.7696,3.46,1.93
63310000.0,2.7675,3.54,2.25
63410000.0,2.8199,3.38,1.99
63510000.0,2.7476,3.29,1.94
63610000.0,2.7462,3.21,2.13
63710000.0,2.7912,3.5,2.1
63810000.0,2.8168,3.59,1.88
63910000.0,2.7286,3.22,2.09
64010000.0,2.722,3.19,2.02
64110000.0,2.8108,3.22,2.17
64210000.0,2.7669,3.36,2.11
64310000.0,2.763,3.36,1.78
64410000.0,2.7311,3.21,1.97
64510000.0,2.888,3.76,2.34
64610000.0,2.7478,3.21,2.0
64710000.0,2.7124,3.19,2.15
64810000.0,2.7985,3.4,2.18
64910000.0,2.8605,3.58,2.21
65010000.0,2.7944,3.28,2.16
65110000.0,2.7788,3.73,2.17
65210000.0,2.7411000000000003,3.31,1.87
65310000.0,2.8212,3.21,2.26
65410000.0,2.7869,3.31,2.1
65510000.0,2.8062,3.6,2.18
65610000.0,2.8111,3.69,2.2
65710000.0,2.8214,3.27,1.95
65810000.0,2.8058,3.33,2.15
65910000.0,2.8446,3.24,2.24
66010000.0,2.8144,3.28,2.03
66110000.0,2.7783,3.29,1.9
66210000.0,2.8452,3.29,2.27
66310000.0,2.8153,3.35,1.53
66410000.0,2.7845,3.24,2.09
66510000.0,2.7828,3.28,2.01
66610000.0,2.7256,3.29,2.07
66710000.0,2.7574,3.31,1.91
66810000.0,2.8248,3.32,2.07
66910000.0,2.795,3.19,2.21
67010000.0,2.7256,3.23,2.14
67110000.0,2.7705,3.3,2.17
67210000.0,2.7707,3.21,1.87
67310000.0,2.8198000000000003,3.5,2.24
67410000.0,2.823,3.52,1.84
67510000.0,2.7338,3.24,1.93
67610000.0,2.7505,3.27,2.0
67710000.0,2.8181,3.3,2.3
67810000.0,2.7651,3.4,2.37
67910000.0,2.7441000000000004,3.3,1.96
68010000.0,2.8778,3.35,2.28
68110000.0,2.7508,3.21,2.01
68210000.0,2.8157,3.5,2.24
68310000.0,2.8581,3.64,2.15
68410000.0,2.8403,3.9,2.14
68510000.0,2.7894,3.31,1.95
68610000.0,2.8431,3.22,2.21
68710000.0,2.8435,3.28,2.33
68810000.0,2.8167,3.23,2.13
68910000.0,2.8676,3.37,2.01
69010000.0,2.8446,3.34,2.23
69110000.0,2.7736,3.37,2.18
69210000.0,2.8209,3.27,2.02
69310000.0,2.7813,3.26,2.18
69410000.0,2.802,3.36,2.09
69510000.0,2.8036000000000003,3.21,1.98
69610000.0,2.7851,3.5,2.12
69710000.0,2.7783999999999995,3.25,1.96
69810000.0,2.7456,3.44,1.93
69910000.0,2.7761,3.24,2.22
70010000.0,2.7366,3.2,2.01
70110000.0,2.8118,3.33,2.18
70210000.0,2.7882,3.26,1.98
70310000.0,2.8163,3.33,2.11
70410000.0,2.7096,3.25,1.76
70510000.0,2.7714,3.31,1.97
70610000.0,2.7811000000000003,3.29,1.77
70710000.0,2.8169,3.26,2.15
70810000.0,2.8082,3.3,2.29
70910000.0,2.8431,3.29,2.19
71010000.0,2.7709,3.32,1.77
71110000.0,2.8284,3.4,2.21
71210000.0,2.835,3.76,2.24
71310000.0,2.7332,3.21,1.71
71410000.0,2.8494,3.31,2.34
71510000.0,2.7745,3.31,1.97
71610000.0,2.7876,3.29,2.15
71710000.0,2.8035,3.29,2.04
71810000.0,2.8059,3.34,1.97
71910000.0,2.8374,3.7,1.94
72010000.0,2.821,3.3,2.15
72110000.0,2.7444,3.23,2.06
72210000.0,2.7541,3.24,1.83
72310000.0,2.8424,3.25,2.25
72410000.0,2.7985,3.26,2.1
72510000.0,2.8398000000000003,3.22,2.26
72610000.0,2.7688,3.18,2.08
72710000.0,2.8064,3.25,1.99
72810000.0,2.801,3.32,2.03
72910000.0,2.7725,3.16,2.01
73010000.0,2.7812,3.37,2.27
73110000.0,2.7613,3.17,2.1
73210000.0,2.7516000000000003,3.3,2.1
73310000.0,2.7693,3.21,2.14
73410000.0,2.8414,3.21,2.13
73510000.0,2.8254,3.2,2.34
73610000.0,2.8157,3.25,1.91
73710000.0,2.7536,3.16,1.76
73810000.0,2.7219,3.16,2.18
73910000.0,2.803,3.25,2.23
74010000.0,2.7960000000000003,3.29,2.13
74110000.0,2.7332,3.15,2.12
74210000.0,2.785,3.28,2.18
74310000.0,2.7832,3.74,1.73
74410000.0,2.7997,3.24,2.02
74510000.0,2.7634,3.28,2.0
74610000.0,2.7835,3.26,2.16
74710000.0,2.799,3.35,2.24
74810000.0,2.7498,3.27,2.13
74910000.0,2.8391,3.28,2.11
75010000.0,2.7910000000000004,3.19,2.12
75110000.0,2.8455,3.36,2.08
75210000.0,2.8064,3.33,2.3
75310000.0,2.7356,3.16,1.98
75410000.0,2.8767,3.3,2.17
75510000.0,2.8131,3.18,1.88
75610000.0,2.8025,3.24,2.23
75710000.0,2.7927,3.24,2.28
75810000.0,2.7911,3.3,1.97
75910000.0,2.7244,3.34,2.17
76010000.0,2.7156,3.19,2.05
76110000.0,2.7276,3.18,2.19
76210000.0,2.7618,3.22,2.19
76310000.0,2.7333,3.2,2.14
76410000.0,2.7502,3.31,2.14
76510000.0,2.7122,3.17,2.05
76610000.0,2.7751,3.4,2.22
76710000.0,2.7372,3.25,2.23
76810000.0,2.7242,3.24,1.89
76910000.0,2.7827,3.31,2.26
77010000.0,2.8172,3.2,2.03
77110000.0,2.7935000000000003,3.36,1.79
77210000.0,2.813,3.27,2.19
77310000.0,2.7864,3.34,2.01
77410000.0,2.7733,3.26,2.17
77510000.0,2.7534,3.19,1.97
77610000.0,2.7942,3.32,1.81
77710000.0,2.7718000000000003,3.38,2.05
77810000.0,2.8096,3.73,2.08
