0,1,2,3,4,5,6,7,8
2509.0,2375.0,2476.0,2457.0,407.0,2509.0,2488.0,2425.0,40.0
272.0,49.0,245.0,122.0,589.0,268.0,246.0,186.0,5.0
104.0,98.0,96.0,99.0,1.0,94.0,93.0,92.0,91.0
25.0,24.0,23.0,22.0,67.0,20.0,19.0,18.0,17.0
58.0,55.0,54.0,53.0,1.0,52.0,48.0,46.0,45.0
31.0,30.0,29.0,28.0,41.0,26.0,25.0,24.0,23.0
69.0,68.0,65.0,66.0,2.0,61.0,59.0,57.0,56.0
34.0,33.0,32.0,31.0,45.0,30.0,29.0,28.0,27.0
33.0,32.0,31.0,29.0,29.0,28.0,26.0,25.0,20.0
105.0,104.0,103.0,102.0,42.0,101.0,100.0,99.0,98.0
12443.0,12401.0,162.0,173.0,1604.0,12369.0,12310.0,12348.0,12408.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313.0,312.0,3.0,9.0,5.0,311.0,7.0,0.0,4.0
28.0,27.0,25.0,12.0,9.0,26.0,6.0,866.0,9.0
16.0,13.0,3.0,2.0,42.0,9.0,6.0,10.0,2.0
16.0,15.0,6.0,5.0,61.0,14.0,13.0,12.0,11.0
16.0,15.0,45.0,1.0,2.0,12.0,8.0,7.0,14.0
20.0,19.0,92.0,5.0,3.0,17.0,16.0,15.0,14.0
12.0,11.0,5.0,22.0,24.0,10.0,9.0,6.0,5.0
49.0,48.0,53.0,15.0,21.0,47.0,46.0,45.0,44.0
70884.0,70755.0,806.0,852.0,70761.0,70807.0,70850.0,70877.0,70870.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,10.0,2.0,45.0,5.0,0.0,7.0,0.0,0.0
25.0,24.0,7.0,34.0,21.0,19.0,22.0,18.0,23.0
17.0,8.0,3.0,5.0,11.0,6.0,2.0,78.0,0.0
19.0,18.0,5.0,3.0,17.0,16.0,3.0,145.0,15.0
18.0,17.0,2.0,34.0,12.0,7.0,4.0,3.0,14.0
24.0,23.0,7.0,16.0,22.0,21.0,20.0,19.0,18.0
16.0,14.0,62.0,1.0,11.0,13.0,10.0,7.0,12.0
30.0,29.0,36.0,6.0,28.0,27.0,26.0,25.0,24.0
2352.0,184.0,2330.0,2328.0,31.0,2209.0,2295.0,2313.0,2196.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,34.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0
16.0,32.0,15.0,14.0,5.0,13.0,12.0,11.0,10.0
26.0,1.0,23.0,21.0,20.0,16.0,15.0,25.0,14.0
27.0,18.0,26.0,25.0,8.0,23.0,22.0,24.0,20.0
15.0,3.0,12.0,7.0,1.0,116.0,6.0,0.0,0.0
28.0,6.0,27.0,26.0,6.0,324.0,25.0,24.0,5.0
22.0,7.0,20.0,16.0,27.0,15.0,11.0,14.0,9.0
31.0,12.0,30.0,29.0,63.0,28.0,27.0,26.0,25.0
2217.0,801.0,2194.0,58.0,2133.0,1818.0,2210.0,2140.0,2175.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,31.0,17.0,1.0,13.0,10.0,7.0,6.0,4.0
23.0,15.0,22.0,6.0,21.0,20.0,19.0,18.0,17.0
21.0,33.0,10.0,2.0,7.0,5.0,3.0,19.0,2.0
15.0,32.0,14.0,3.0,13.0,12.0,11.0,10.0,9.0
11.0,9.0,9.0,42.0,8.0,7.0,6.0,5.0,4.0
16.0,5.0,15.0,19.0,14.0,13.0,12.0,11.0,10.0
10.0,3.0,9.0,5.0,7.0,3.0,4.0,73.0,2.0
24.0,6.0,23.0,4.0,22.0,6.0,21.0,135.0,19.0
