0,1,2,3,4,5,6,7,8
1232.0,,1232.0,,1232.0,,1232.0,,1231.0
507.0,,507.0,,506.0,,506.0,,506.0
278.0,,278.0,,278.0,278.0,278.0,278.0,277.0
1302.0,,1302.0,,1302.0,1301.0,1301.0,1301.0,1301.0
1723.0,,1723.0,,1722.0,1722.0,1722.0,1722.0,1722.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260.0,,260.0,,260.0,260.0,260.0,260.0,260.0
1361.0,,1361.0,,1361.0,1360.0,1360.0,1360.0,1360.0
1556.0,,1556.0,1556.0,,1556.0,1556.0,1556.0,1555.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413.0,,413.0,413.0,,,413.0,413.0,
1316.0,,1316.0,1315.0,,,1315.0,1315.0,
1641.0,,1641.0,1641.0,,1640.0,1640.0,1640.0,1640.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263.0,,263.0,263.0,,263.0,263.0,263.0,263.0
1429.0,,1429.0,1428.0,,1428.0,1428.0,1428.0,1428.0
1672.0,1672.0,,,1672.0,1671.0,1671.0,1671.0,1671.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259.0,259.0,,,259.0,258.0,258.0,258.0,258.0
1353.0,1353.0,,,1352.0,1352.0,1352.0,1352.0,1352.0
1226.0,1226.0,,,1226.0,1226.0,,,1226.0
498.0,498.0,,,498.0,498.0,,,497.0
268.0,268.0,,,268.0,268.0,268.0,268.0,267.0
1312.0,1312.0,,,1311.0,1311.0,1311.0,1311.0,1311.0
1616.0,1616.0,,1615.0,,1615.0,1615.0,1615.0,1615.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276.0,276.0,,276.0,,276.0,276.0,276.0,276.0
1388.0,1388.0,,1388.0,,1387.0,1387.0,1387.0,1387.0
1537.0,1537.0,,1537.0,,1536.0,1536.0,1536.0,1536.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404.0,404.0,,403.0,,403.0,,403.0,
1326.0,1326.0,,1326.0,,1326.0,,1325.0,
